StationCode,StationName,escalator_count,source,source_ref,retrieved_at,notes
G03,Addison Road-Seat Pleasant,2,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,zones X:2; observed_unique=2
F06,Anacostia,6,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,"zones N:3, S:3; observed_unique=6"
F02,Archives-Navy Memorial-Penn Quarter,5,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,zones X:5; observed_unique=5
C06,Arlington Cemetery,8,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,"zones X:8; observed_unique=5 | ordinal gaps: X=[1, 2, 4]"
N12,Ashburn,,pending,,2026-05-26T01:59:54Z,Silver Line Phase 2 (opened 2022-11-15). Needs OSM/manual.
K04,Ballston-MU,12,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,"zones X:12; observed_unique=10 | ordinal gaps: X=[7, 8]"
G01,Benning Road,5,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,zones X:5; observed_unique=5
A09,Bethesda,2,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,zones X:2; observed_unique=1 | ordinal gaps: X=[1]
C12,Braddock Road,2,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,zones X:2; observed_unique=2
F11,Branch Ave,2,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,zones X:2; observed_unique=2
B05,Brookland-CUA,4,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,zones X:4; observed_unique=3 | ordinal gaps: X=[1]
G02,Capitol Heights,5,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,zones X:5; observed_unique=5
D05,Capitol South,5,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,zones X:5; observed_unique=5
D11,Cheverly,6,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,zones X:6; observed_unique=6
K02,Clarendon,8,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,zones X:8; observed_unique=7 | ordinal gaps: X=[1]
A05,Cleveland Park,6,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,zones X:6; observed_unique=6
E09,College Park-U of Md,4,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,zones X:4; observed_unique=3 | ordinal gaps: X=[2]
E04,Columbia Heights,7,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,zones X:7; observed_unique=7
F07,Congress Heights,7,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,zones X:7; observed_unique=7
K01,Court House,8,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,zones X:8; observed_unique=8
C09,Crystal City,12,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,zones X:12; observed_unique=11 | ordinal gaps: X=[8]
D10,Deanwood,3,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,zones X:3; observed_unique=3
G05,Downtown Largo,4,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,zones X:4; observed_unique=4
K07,Dunn Loring-Merrifield,2,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,zones X:2; observed_unique=2
A03,Dupont Circle,14,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,"zones N:7, S:7; observed_unique=11 | ordinal gaps: N=[1, 2], S=[5]"
K05,East Falls Church,3,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,zones X:3; observed_unique=3
D06,Eastern Market,5,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,zones X:5; observed_unique=5
C14,Eisenhower Avenue,2,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,zones X:2; observed_unique=2
A02,Farragut North,16,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,"zones E:6, S:5, W:5; observed_unique=16"
C03,Farragut West,14,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,"zones E:7, W:7; observed_unique=13 | ordinal gaps: W=[2]"
D04,Federal Center SW,5,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,"zones X:5; observed_unique=3 | ordinal gaps: X=[1, 2]"
D01,Federal Triangle,9,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,zones X:9; observed_unique=8 | ordinal gaps: X=[8]
C04,Foggy Bottom-GWU,6,unitname_max_ord,data/escalator_outages.csv,2026-05-26T01:59:54Z,zones X:6; observed_unique=6
