"StationCode","StationName","Lines"
"G03","Addison Road-Seat Pleasant","BL,SV"
"F06","Anacostia","GR"
"F02","Archives-Navy Memorial-Penn Quarter","GR,YL"
"C06","Arlington Cemetery","BL"
"N12","Ashburn","SV"
"K04","Ballston-MU","OR,SV"
"G01","Benning Road","BL,SV"
"A09","Bethesda","RD"
"C12","Braddock Road","BL,YL"
"F11","Branch Ave","GR"
"B05","Brookland-CUA","RD"
"G02","Capitol Heights","BL,SV"
"D05","Capitol South","BL,OR,SV"
"D11","Cheverly","OR"
"K02","Clarendon","OR,SV"
"A05","Cleveland Park","RD"
"E09","College Park-U of Md","GR"
"E04","Columbia Heights","GR,YL"
"F07","Congress Heights","GR"
"K01","Court House","OR,SV"
"C09","Crystal City","BL,YL"
"D10","Deanwood","OR"
"G05","Downtown Largo","BL,SV"
"K07","Dunn Loring-Merrifield","OR"
"A03","Dupont Circle","RD"
"K05","East Falls Church","OR,SV"
"D06","Eastern Market","BL,OR,SV"
"C14","Eisenhower Avenue","YL"
"A02","Farragut North","RD"
"C03","Farragut West","BL,OR,SV"
"D04","Federal Center SW","BL,OR,SV"
"D01","Federal Triangle","BL,OR,SV"
"C04","Foggy Bottom-GWU","BL,OR,SV"
"B09","Forest Glen","RD"
"B06","Fort Totten","RD"
"E06","Fort Totten","GR,YL"
"J03","Franconia-Springfield","BL"
"A08","Friendship Heights","RD"
"B01","Gallery Pl-Chinatown","RD"
"F01","Gallery Pl-Chinatown","GR,YL"
"E05","Georgia Ave-Petworth","GR,YL"
"B11","Glenmont","RD"
"E10","Greenbelt","GR"
"N03","Greensboro","SV"
"A11","Grosvenor-Strathmore","RD"
"N08","Herndon","SV"
"C15","Huntington","YL"
"E08","Hyattsville Crossing","GR"
"N09","Innovation Center","SV"
"B02","Judiciary Square","RD"
"C13","King St-Old Town","BL,YL"
"D03","L'Enfant Plaza","BL,OR,SV"
"F03","L'Enfant Plaza","GR,YL"
"D12","Landover","OR"
"N11","Loudoun Gateway","SV"
"N01","McLean","SV"
"C02","McPherson Square","BL,OR,SV"
"A10","Medical Center","RD"
"A01","Metro Center","RD"
"C01","Metro Center","BL,OR,SV"
"D09","Minnesota Ave","OR"
"G04","Morgan Boulevard","BL,SV"
"E01","Mt Vernon Sq 7th St-Convention Center","GR,YL"
"F05","Navy Yard-Ballpark","GR"
"F09","Naylor Road","GR"
"D13","New Carrollton","OR"
"B35","NoMa-Gallaudet U","RD"
"A12","North Bethesda","RD"
"C07","Pentagon","BL,YL"
"C08","Pentagon City","BL,YL"
"D07","Potomac Ave","BL,OR,SV"
"C11","Potomac Yard","BL,YL"
"N07","Reston Town Center","SV"
"B04","Rhode Island Ave-Brentwood","RD"
"A14","Rockville","RD"
"C10","Ronald Reagan Washington National Airport","BL,YL"
"C05","Rosslyn","BL,OR,SV"
"A15","Shady Grove","RD"
"E02","Shaw-Howard U","GR,YL"
"B08","Silver Spring","RD"
"D02","Smithsonian","BL,OR,SV"
"F08","Southern Avenue","GR"
"N04","Spring Hill","SV"
"D08","Stadium-Armory","BL,OR,SV"
"F10","Suitland","GR"
"B07","Takoma","RD"
"A07","Tenleytown-AU","RD"
"A13","Twinbrook","RD"
"N02","Tysons","SV"
"E03","U Street/African-Amer Civil War Memorial/Cardozo","GR,YL"
"B03","Union Station","RD"
"J02","Van Dorn Street","BL"
"A06","Van Ness-UDC","RD"
"K08","Vienna/Fairfax-GMU","OR"
"K03","Virginia Square-GMU","OR,SV"
"N10","Washington Dulles International Airport","SV"
"F04","Waterfront","GR"
"K06","West Falls Church","OR"
"E07","West Hyattsville","GR"
"B10","Wheaton","RD"
"N06","Wiehle-Reston East","SV"
"A04","Woodley Park-Zoo/Adams Morgan","RD"
